epoch,lr-AdamW,step,train/Accuracy,train/Boundary_mIoU,train/Class_Accuracy_0,train/Class_Accuracy_1,train/F1_Score,train/IoU_0,train/IoU_1,train/Pixel_Accuracy,train/loss,train/mIoU,train/mIoU_Micro,val/Accuracy,val/Boundary_mIoU,val/Class_Accuracy_0,val/Class_Accuracy_1,val/F1_Score,val/IoU_0,val/IoU_1,val/Pixel_Accuracy,val/loss,val/mIoU,val/mIoU_Micro
,5e-05,0,,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,0.6499837636947632,,,,,,,,,,,,,
0,,1,,,,,,,,,0.8659288287162781,,,,,,,,,,,,,
0,,2,,,,,,,,,0.6225083470344543,,,,,,,,,,,,,
0,,3,,,,,,,,,0.5763939619064331,,,,,,,,,,,,,
0,,4,,,,,,,,,0.5267552137374878,,,,,,,,,,,,,
0,,5,,,,,,,,,0.46626001596450806,,,,,,,,,,,,,
0,,6,,,,,,,,,0.3409990072250366,,,,,,,,,,,,,
0,,7,,,,,,,,,0.39147573709487915,,,,,,,,,,,,,
0,,8,,,,,,,,,0.5477224588394165,,,,,,,,,,,,,
0,,9,,,,,,,,,0.5240300297737122,,,,,,,,,,,,,
0,,10,,,,,,,,,0.43899738788604736,,,,,,,,,,,,,
0,,11,,,,,,,,,0.39002659916877747,,,,,,,,,,,,,
0,,12,,,,,,,,,0.3901571035385132,,,,,,,,,,,,,
0,,13,,,,,,,,,0.3830765187740326,,,,,,,,,,,,,
0,,14,,,,,,,,,0.33955681324005127,,,,,,,,,,,,,
0,,14,,,,,,,,,,,,0.5035139918327332,0.011839416809380054,0.04677952453494072,0.9602484107017517,0.1476312279701233,0.04653953015804291,0.11502772569656372,0.15167254209518433,0.9778698086738586,0.08078362792730331,0.082059346139431
0,,14,0.6919337511062622,0.0262678824365139,0.8516537547111511,0.5322137475013733,0.6283839344978333,0.8119770884513855,0.2199098765850067,0.8214414715766907,,0.5159434676170349,0.6969882249832153,,,,,,,,,,,
,4.9692208514878444e-05,15,,,,,,,,,,,,,,,,,,,,,,
1,,15,,,,,,,,,0.33046990633010864,,,,,,,,,,,,,
1,,16,,,,,,,,,0.28611570596694946,,,,,,,,,,,,,
1,,17,,,,,,,,,0.3674485385417938,,,,,,,,,,,,,
1,,18,,,,,,,,,0.43650051951408386,,,,,,,,,,,,,
1,,19,,,,,,,,,0.33326300978660583,,,,,,,,,,,,,
1,,20,,,,,,,,,0.3703727126121521,,,,,,,,,,,,,
1,,21,,,,,,,,,0.32600533962249756,,,,,,,,,,,,,
1,,22,,,,,,,,,0.3775436580181122,,,,,,,,,,,,,
1,,23,,,,,,,,,0.30830827355384827,,,,,,,,,,,,,
1,,24,,,,,,,,,0.3038732707500458,,,,,,,,,,,,,
1,,25,,,,,,,,,0.29881516098976135,,,,,,,,,,,,,
1,,26,,,,,,,,,0.3371160626411438,,,,,,,,,,,,,
1,,27,,,,,,,,,0.27645501494407654,,,,,,,,,,,,,
1,,28,,,,,,,,,0.29322531819343567,,,,,,,,,,,,,
1,,29,,,,,,,,,0.300495982170105,,,,,,,,,,,,,
1,,29,,,,,,,,,,,,0.5336635112762451,0.029328282922506332,0.5356118679046631,0.5317152142524719,0.4395442605018616,0.5049376487731934,0.11610081046819687,0.5351644158363342,0.6779918670654297,0.3105192184448242,0.3653409481048584
1,,29,0.6757258176803589,0.01605353131890297,0.9661827087402344,0.3852688670158386,0.7023656368255615,0.905656635761261,0.2938604950904846,0.9092207551002502,,0.5997585654258728,0.8335515260696411,,,,,,,,,,,
,4.877641290737884e-05,30,,,,,,,,,,,,,,,,,,,,,,
2,,30,,,,,,,,,0.348979115486145,,,,,,,,,,,,,
2,,31,,,,,,,,,0.23187510669231415,,,,,,,,,,,,,
2,,32,,,,,,,,,0.27035969495773315,,,,,,,,,,,,,
2,,33,,,,,,,,,0.38392212986946106,,,,,,,,,,,,,
2,,34,,,,,,,,,0.24246618151664734,,,,,,,,,,,,,
2,,35,,,,,,,,,0.267641544342041,,,,,,,,,,,,,
2,,36,,,,,,,,,0.27841320633888245,,,,,,,,,,,,,
2,,37,,,,,,,,,0.3369772136211395,,,,,,,,,,,,,
2,,38,,,,,,,,,0.2668316960334778,,,,,,,,,,,,,
2,,39,,,,,,,,,0.2996023893356323,,,,,,,,,,,,,
2,,40,,,,,,,,,0.1911887526512146,,,,,,,,,,,,,
2,,41,,,,,,,,,0.2661547064781189,,,,,,,,,,,,,
