epoch,lr-AdamW,step,train/Accuracy,train/Boundary_mIoU,train/Class_Accuracy_0,train/Class_Accuracy_1,train/F1_Score,train/IoU_0,train/IoU_1,train/Pixel_Accuracy,train/loss,train/mIoU,train/mIoU_Micro,val/Accuracy,val/Boundary_mIoU,val/Class_Accuracy_0,val/Class_Accuracy_1,val/F1_Score,val/IoU_0,val/IoU_1,val/Pixel_Accuracy,val/loss,val/mIoU,val/mIoU_Micro
,1e-05,0,,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,0.8342427611351013,,,,,,,,,,,,,
0,,1,,,,,,,,,0.7708451151847839,,,,,,,,,,,,,
0,,2,,,,,,,,,0.6588996052742004,,,,,,,,,,,,,
0,,3,,,,,,,,,0.6180036067962646,,,,,,,,,,,,,
0,,4,,,,,,,,,0.5400292873382568,,,,,,,,,,,,,
0,,5,,,,,,,,,0.5387054085731506,,,,,,,,,,,,,
0,,6,,,,,,,,,0.4802030026912689,,,,,,,,,,,,,
0,,7,,,,,,,,,0.48339495062828064,,,,,,,,,,,,,
0,,8,,,,,,,,,0.7337892055511475,,,,,,,,,,,,,
0,,9,,,,,,,,,0.4967479109764099,,,,,,,,,,,,,
0,,10,,,,,,,,,0.4303854703903198,,,,,,,,,,,,,
0,,11,,,,,,,,,0.6076024174690247,,,,,,,,,,,,,
0,,12,,,,,,,,,0.6885744333267212,,,,,,,,,,,,,
0,,13,,,,,,,,,0.3836696743965149,,,,,,,,,,,,,
0,,14,,,,,,,,,0.40391114354133606,,,,,,,,,,,,,
0,,14,,,,,,,,,,,,0.515166163444519,0.03872855752706528,0.6379820108413696,0.39235031604766846,0.46540558338165283,0.5913659930229187,0.10350494086742401,0.6097763180732727,0.6755396127700806,0.34743547439575195,0.43861740827560425
0,,14,0.7531870603561401,0.02787170000374317,0.7677491903305054,0.7386249899864197,0.6112383008003235,0.747922420501709,0.2245088815689087,0.7650673389434814,,0.48621565103530884,0.6195215582847595,,,,,,,,,,,
,9.997532801828659e-06,15,,,,,,,,,,,,,,,,,,,,,,
1,,15,,,,,,,,,0.586642324924469,,,,,,,,,,,,,
1,,16,,,,,,,,,0.45908910036087036,,,,,,,,,,,,,
1,,17,,,,,,,,,0.5969554781913757,,,,,,,,,,,,,
1,,18,,,,,,,,,0.39811626076698303,,,,,,,,,,,,,
1,,19,,,,,,,,,0.4713762104511261,,,,,,,,,,,,,
1,,20,,,,,,,,,0.41536691784858704,,,,,,,,,,,,,
1,,21,,,,,,,,,0.4832533597946167,,,,,,,,,,,,,
